35.6158,113.9182,A
9.0877,113.7546,A
8.8172,103.4168,A
1.1784,120.5926,A
15.9159,122.8771,A
24.4523,110.4419,A
16.6485,110.0875,A
26.1135,129.5719,A
18.1036,120.0886,A
24.2650,113.7423,A
8.3913,148.3073,A
23.5547,106.3951,A
24.5503,108.3704,A
6.9507,121.6374,A
15.0221,106.6727,A
16.1860,105.0317,A
30.3244,137.3424,A
11.7104,123.3248,A
-2.2419,113.4969,A
0.6491,113.3957,A
20.0074,120.8958,A
22.3593,127.4101,A
45.9285,91.0627,A
13.4242,102.2801,A
15.1559,114.5416,A
25.4881,26.2185,B
21.2370,24.0735,B
21.9527,17.1017,B
17.8277,22.4632,B
21.2619,21.3978,B
69.5612,124.2604,A
77.5098,123.2435,A
89.5724,130.3273,A
80.0628,123.2208,A
72.1843,124.7463,A
81.0818,118.7434,A
103.7244,116.3206,A
71.8242,122.3929,A
76.1000,120.7557,A
89.5167,108.3644,A
83.2015,130.7648,A
63.0750,131.4201,A
76.2460,126.7971,A
95.6095,115.0940,A
72.2878,105.7976,A
83.3207,125.5880,A
74.1198,119.4549,A
73.4002,121.3004,A
87.8504,138.9020,A
83.4535,117.8503,A
69.8853,128.3190,A
63.7939,130.7191,A
72.0827,98.8515,A
78.5372,106.9444,A
89.6837,131.8527,A
80.3435,20.6056,B
83.3020,25.2899,B
78.9259,20.7573,B
78.9194,22.1252,B
80.5767,21.8969,B
